"Date","Price","Open","High","Low","Vol.","Change %"
"12/11/2023","42.67","42.74","43.01","42.14","14.35M","1.35%"
"12/08/2023","42.10","41.70","42.24","41.66","20.12M","-0.17%"
"12/07/2023","42.17","41.99","42.69","41.78","19.15M","1.15%"
"12/06/2023","41.69","41.77","42.07","41.28","16.62M","0.19%"
"12/05/2023","41.61","42.93","43.00","40.69","28.98M","-3.41%"
"12/04/2023","43.08","42.25","43.42","42.17","22.71M","2.06%"
"12/01/2023","42.21","42.24","42.52","41.81","16.97M","0.76%"
"11/30/2023","41.89","41.78","41.94","41.44","23.46M","0.62%"
"11/29/2023","41.63","41.97","42.07","41.41","13.27M","-0.57%"
"11/28/2023","41.87","42.00","42.10","41.79","14.51M","-0.52%"
"11/27/2023","42.09","42.37","42.51","41.81","19.31M","-1.15%"
"11/24/2023","42.58","42.55","42.73","42.40","5.86M","0.24%"
"11/22/2023","42.48","42.72","42.93","42.40","12.86M","-0.28%"
"11/21/2023","42.60","43.00","43.03","42.34","11.72M","-0.79%"
"11/20/2023","42.94","42.28","43.13","42.17","14.45M","1.23%"
"11/17/2023","42.42","42.66","42.97","42.33","13.39M","0.02%"
"11/16/2023","42.41","42.78","43.07","41.87","18.35M","-0.28%"
"11/15/2023","42.53","41.88","42.65","41.88","17.03M","1.58%"
"11/14/2023","41.87","42.30","42.50","41.76","22.44M","0.92%"
"11/13/2023","41.49","41.68","41.83","41.28","14.18M","-1.00%"
