"Date","Price","Open","High","Low","Vol.","Change %"
"09/29/2023","81.05","80.66","81.33","80.41","11.26M","1.15%"
"09/28/2023","80.13","80.28","80.92","79.65","11.93M","0.29%"
"09/27/2023","79.90","80.12","80.56","79.21","14.50M","-0.19%"
"09/26/2023","80.05","80.50","80.74","79.79","14.79M","-1.19%"
"09/25/2023","81.01","81.56","81.77","80.56","10.97M","-0.30%"
"09/22/2023","81.25","82.91","83.35","81.20","11.50M","-1.79%"
"09/21/2023","82.73","82.06","83.67","81.92","14.31M","0.21%"
"09/20/2023","82.56","82.03","83.20","81.64","12.60M","0.76%"
"09/19/2023","81.94","83.92","84.79","81.71","21.13M","-3.62%"
"09/18/2023","85.02","85.24","85.92","84.98","11.79M","-0.65%"
"09/15/2023","85.58","85.22","86.19","84.61","21.63M","1.30%"
"09/14/2023","84.48","84.00","84.74","83.04","21.64M","1.20%"
"09/13/2023","83.48","83.35","84.04","83.12","9.69M","-0.24%"
"09/12/2023","83.68","83.03","84.67","82.57","16.43M","1.41%"
"09/11/2023","82.52","81.94","83.85","81.17","25.94M","1.15%"
"09/08/2023","81.58","80.54","81.67","80.17","15.98M","1.25%"
"09/07/2023","80.57","80.82","80.85","79.75","14.64M","-0.51%"
"09/06/2023","80.98","80.79","82.09","80.53","15.46M","-0.26%"
"09/05/2023","81.19","81.42","82.39","81.18","12.58M","-0.55%"
"09/01/2023","81.64","82.11","82.23","80.53","27.70M","-2.44%"
"08/31/2023","83.68","84.46","84.61","83.64","10.21M","-0.71%"
"08/30/2023","84.28","84.40","84.68","83.83","11.39M","-0.14%"
"08/29/2023","84.40","83.79","84.54","83.73","10.92M","0.29%"
"08/28/2023","84.16","83.83","84.68","83.53","11.93M","0.96%"
"08/25/2023","83.36","83.07","83.65","82.46","16.05M","1.08%"
"08/24/2023","82.47","85.51","85.95","82.46","27.10M","-3.91%"
"08/23/2023","85.83","85.81","86.32","85.64","7.46M","0.05%"
"08/22/2023","85.79","85.71","86.09","85.37","9.73M","-0.10%"
"08/21/2023","85.88","85.81","86.25","85.41","10.53M","-0.09%"
"08/18/2023","85.96","85.37","86.72","85.37","12.36M","0.05%"
"08/17/2023","85.92","86.92","86.96","85.80","13.56M","-0.50%"
"08/16/2023","86.35","86.54","87.06","86.08","12.03M","-0.82%"
"08/15/2023","87.06","87.99","88.23","86.89","13.58M","-1.97%"
"08/14/2023","88.81","88.99","89.30","87.99","13.37M","-0.24%"
"08/11/2023","89.02","91.32","91.35","88.86","22.00M","-2.99%"
"08/10/2023","91.76","89.97","92.53","87.75","55.61M","4.88%"
"08/09/2023","87.49","89.20","89.56","87.04","22.77M","-0.73%"
"08/08/2023","88.13","86.50","88.33","86.10","16.38M","1.50%"
"08/07/2023","86.83","86.66","87.23","85.99","10.74M","0.61%"
"08/04/2023","86.30","85.94","87.11","85.45","11.53M","0.95%"
"08/03/2023","85.49","85.82","86.46","85.45","14.00M","-0.94%"
"08/02/2023","86.30","88.26","88.33","86.26","15.07M","-3.07%"
"08/01/2023","89.03","89.12","89.73","88.46","13.53M","0.16%"
"07/31/2023","88.89","87.00","89.36","86.88","20.74M","3.20%"
"07/28/2023","86.13","85.86","86.58","85.44","13.64M","0.90%"
"07/27/2023","85.36","86.60","86.88","85.19","16.69M","-0.58%"
"07/26/2023","85.86","85.67","86.27","85.45","14.98M","0.27%"
"07/25/2023","85.63","85.73","86.31","85.16","15.34M","-1.12%"
"07/24/2023","86.60","87.49","87.96","86.55","13.91M","-0.67%"
"07/21/2023","87.18","86.29","87.90","85.88","19.90M","1.13%"
"07/20/2023","86.21","86.84","87.18","86.03","15.28M","-0.95%"
"07/19/2023","87.04","86.20","87.89","86.19","16.81M","1.27%"
"07/18/2023","85.95","85.51","87.30","85.31","21.82M","0.46%"
"07/17/2023","85.56","88.42","88.49","85.30","34.29M","-3.45%"
"07/14/2023","88.62","90.41","90.49","88.42","17.62M","-2.04%"
"07/13/2023","90.47","90.55","90.81","89.08","15.24M","0.35%"
"07/12/2023","90.15","90.11","90.71","89.57","14.45M","0.74%"
"07/11/2023","89.49","88.19","89.59","88.15","13.56M","1.58%"
"07/10/2023","88.10","88.25","88.68","87.86","13.64M","-0.61%"
"07/07/2023","88.64","88.31","89.73","88.08","9.64M","-0.11%"
"07/06/2023","88.74","88.67","88.83","87.78","12.02M","-1.17%"
"07/05/2023","89.79","90.11","90.39","89.25","10.98M","-0.78%"
"07/03/2023","90.50","89.10","90.95","89.06","7.98M","1.37%"
"06/30/2023","89.28","89.18","89.60","88.61","12.84M","0.37%"
"06/29/2023","88.95","87.80","89.12","87.34","13.35M","0.14%"
"06/28/2023","88.83","89.39","89.40","88.53","12.06M","-0.26%"
"06/27/2023","89.06","88.90","89.66","88.49","9.96M","0.41%"
"06/26/2023","88.70","88.04","89.49","87.77","13.00M","0.68%"
"06/23/2023","88.10","88.01","88.39","87.61","13.54M","-0.44%"
"06/22/2023","88.49","88.44","89.19","88.12","10.86M","-0.17%"
"06/21/2023","88.64","89.55","89.67","88.11","17.44M","-1.24%"
"06/20/2023","89.75","90.29","90.78","89.74","14.68M","-1.72%"
"06/16/2023","91.32","92.88","92.97","90.86","22.68M","-1.74%"
"06/15/2023","92.94","92.06","93.52","91.61","13.10M","0.53%"
"06/14/2023","92.45","94.26","94.52","91.92","15.60M","-1.49%"
"06/13/2023","93.85","94.12","94.44","93.44","12.96M","0.76%"
"06/12/2023","93.14","92.25","93.22","91.77","12.29M","1.32%"
"06/09/2023","91.93","92.78","92.92","91.55","9.60M","-0.65%"
"06/08/2023","92.53","92.52","92.68","91.30","8.98M","0.01%"
"06/07/2023","92.52","92.78","93.08","91.86","11.08M","0.39%"
"06/06/2023","92.16","91.10","92.51","91.02","12.02M","1.27%"
"06/05/2023","91.00","91.20","91.76","89.44","18.41M","0.25%"
"06/02/2023","90.77","89.63","91.34","89.60","14.27M","2.46%"
"06/01/2023","88.59","88.40","89.06","87.11","11.80M","0.72%"
"05/31/2023","87.96","87.58","88.17","87.15","11.26M","0.16%"
"05/30/2023","87.82","88.97","88.97","87.01","14.71M","-0.53%"
"05/26/2023","88.29","88.49","89.24","88.10","12.89M","0.17%"
"05/25/2023","88.14","89.56","89.56","87.79","13.20M","-1.04%"
"05/24/2023","89.07","89.44","89.49","88.41","15.14M","-0.84%"
"05/23/2023","89.82","91.10","92.03","89.81","14.51M","-2.18%"
"05/22/2023","91.82","91.33","91.93","89.89","13.83M","0.51%"
"05/19/2023","91.35","93.00","93.00","91.32","16.43M","-2.57%"
"05/18/2023","93.76","92.85","94.24","92.46","14.86M","1.07%"
"05/17/2023","92.77","91.02","93.05","90.85","12.46M","1.97%"
"05/16/2023","90.98","92.04","92.42","90.78","17.01M","-2.02%"
"05/15/2023","92.86","91.54","92.87","90.70","16.79M","0.95%"
"05/12/2023","91.99","92.34","92.88","91.24","21.84M","-0.35%"
"05/11/2023","92.31","94.80","95.11","91.88","57.13M","-8.73%"
"05/10/2023","101.14","103.00","103.25","100.04","19.53M","-1.02%"
"05/09/2023","102.18","102.91","102.98","102.09","6.83M","-0.77%"
"05/08/2023","102.97","101.70","103.91","101.69","10.81M","2.44%"
"05/05/2023","100.52","98.59","100.85","98.11","9.30M","3.15%"
"05/04/2023","97.45","99.54","99.54","96.61","13.26M","-3.38%"
"05/03/2023","100.86","101.06","102.58","100.64","7.77M","0.26%"
"05/02/2023","100.60","101.33","101.69","99.62","6.96M","-1.58%"
"05/01/2023","102.21","102.40","102.61","101.61","6.91M","-0.28%"
"04/28/2023","102.50","99.37","102.56","99.08","11.33M","2.57%"
"04/27/2023","99.93","97.13","100.07","96.71","8.17M","3.44%"
"04/26/2023","96.61","97.84","98.48","96.46","8.63M","-1.43%"
"04/25/2023","98.01","99.38","99.71","98.01","6.51M","-1.68%"
"04/24/2023","99.68","100.14","100.74","98.67","8.54M","0.11%"
"04/21/2023","99.57","98.16","99.72","97.72","9.47M","1.53%"
"04/20/2023","98.07","97.75","98.58","97.39","7.76M","-0.69%"
"04/19/2023","98.75","99.78","99.83","98.36","11.52M","-2.16%"
